"Estilo","Clase","Size.L.","OG","FG","ABV","IBU","Color","BoilSize","BoilTime","BoilGravity","Efficiency","SugarScale","BrewMethod"
"AMERICAN","IPA",18,1.062,1.015,6.16,37.11,3.01,73,90,29,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.055,1.015,5.3,36.22,8.46,83,60,23,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",37.85,1.058,1.013,5.93,99.99,4.13,141,60,34,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.065,1.015,6.49,56.42,12.1,18,90,74,35,"Specific Gravity","extract"
"AMERICAN","PALE",13,1.049,1.012,4.88,41.87,7.74,27,70,26,75,"Specific Gravity","All Grain"
"SPECIALTY","IPA",18.93,1.069,1.015,6.97,129.61,7.9,108,60,27,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.059,1.015,5.81,62.92,10.98,7,60,88,45,"Specific Gravity","extract"
"IMPERIAL","IPA",20.82,1.074,1.016,7.59,192.76,6.72,95,60,38,70,"Specific Gravity","All Grain"
"IMPERIAL","STOUT",18.93,1.172,1.051,15.92,125.42,50,95,240,94,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.068,1.011,7.48,65.49,5.94,95,60,34,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",37.85,1.067,1.014,6.88,91.18,6.93,139,60,42,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20,1.055,1.014,5.37,81.71,9.57,6,60,80,35,"Specific Gravity","extract"
"SPECIALTY","IPA",19.87,1.064,1.011,6.96,69.59,14.52,71,60,35,70,"Specific Gravity","All Grain"
"IMPERIAL","IPA",20.82,1.085,1.014,9.27,102.55,8.86,71,60,56,70,"Specific Gravity","All Grain"
"SPECIALTY","IPA",20.82,1.055,1.01,5.94,38.97,13.44,71,30,31,65,"Specific Gravity","BIAB"
"IRISH","STOUT",18.93,1.044,1.011,4.36,47.63,28.04,71,70,18,35,"Specific Gravity","extract"
"BELGIAN","PALE",50,1.056,1.014,5.48,33.99,3.65,179,90,27,65,"Specific Gravity","All Grain"
"SPECIALTY","IPA",40,1.04,1.01,3.93,114.31,18.81,154,60,15,35,"Specific Gravity","All Grain"
"SWEET","STOUT",20.82,1.074,1.015,7.78,38.06,50,71,60,47,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",20.82,1.068,1.014,7.1,102.85,13.35,83,60,38,69,"Specific Gravity","All Grain"
"IMPERIAL","IPA",20.82,1.073,1.018,7.2,122.99,12.73,95,60,38,69,"Specific Gravity","All Grain"
"OATMEAL","STOUT",18,1.053,1.013,5.13,38.51,22.3,59,60,27,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.048,1.009,5.13,41.13,8.68,18,20,53,35,"Specific Gravity","extract"
"DRY","STOUT",38,1.043,1.011,4.27,38.41,38.39,142,60,21,70,"Specific Gravity","BIAB"
"DOUBLE","IPA",18.93,1.089,1.016,9.53,97.23,8.82,95,70,31,60,"Specific Gravity","BIAB"
"AMERICAN","IPA",22.71,1.063,1.014,6.43,41.62,7.04,95,60,34,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",19.87,1.055,1.01,5.92,59.71,6.81,83,60,25,70,"Specific Gravity","All Grain"
"BLONDE","ALE",19.87,1.051,1.013,5,22.27,3.94,95,60,20,60,"Specific Gravity","All Grain"
"OLD","ALE",22,1.064,1.014,6.49,38.18,15.64,87,60,36,71,"Specific Gravity","All Grain"
"IMPERIAL","IPA",25,1.08,1.017,8.31,112.57,10.24,107,60,51,70,"Specific Gravity","All Grain"
"BELGIAN","PALE",20.82,1.054,1.012,5.48,26.78,7.11,83,60,27,35,"Specific Gravity","extract"
"AMERICAN","PALE",45.42,1.042,1.008,4.51,58.8,8.2,46,60,82,35,"Specific Gravity","Partial Mash"
"AMERICAN","PALE",9.46,1.062,1.015,6.2,41.67,10.69,46,60,15,35,"Specific Gravity","All Grain"
"SWEET","STOUT",23,1.052,1.012,5.14,25.66,32.47,101,60,25,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",13.25,1.064,1.012,6.82,86.33,7.17,28,60,40,65,"Specific Gravity","BIAB"
"AMERICAN","PALE",15.14,1.048,1.011,4.84,35.22,6.5,74,60,13,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",50,1.058,1.013,5.9,71.96,8.31,161,60,37,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",50,1.053,1.011,5.41,66.13,6.22,161,60,32,72,"Specific Gravity","All Grain"
"AMERICAN","PALE",58.67,1.047,1.009,5.01,47.66,10.32,187,70,23,68,"Specific Gravity","All Grain"
"AMERICAN","PALE",12,1.045,1.01,4.69,91.42,10.92,22,60,23,50,"Specific Gravity","BIAB"
"IMPERIAL","IPA",20.82,1.085,1.024,8.02,126.53,26.38,95,60,47,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.077,1.014,8.32,132.16,7.32,95,60,41,70,"Specific Gravity","All Grain"
"DRY","STOUT",37.85,1.047,1.012,4.65,31.3,40.3,95,60,47,70,"Specific Gravity","All Grain"
"IMPERIAL","STOUT",41.64,1.125,1.045,10.61,83.36,50,152,90,83,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",27,1.051,1.01,5.37,34.09,4.68,111,60,28,70,"Specific Gravity","All Grain"
